energy;Reg_coef;Abs_Reg_coef;Zone
3.52;-0.015063623051075354;0.015063623051075354;K kb + Ca ka
14.08;-0.014999029517115342;0.014999029517115342;background3
20.9;-0.0149568271740511;0.0149568271740511;Rh kb Compton
20.54;0.01495390759570792;0.01495390759570792;Rh ka Rayleigh
12.04;0.014880557178137924;0.014880557178137924;Br ka
3.42;-0.014808326559156784;0.014808326559156784;K ka
3.86;-0.01479266272354101;0.01479266272354101;background1
8.78;-0.014789089825496178;0.014789089825496178;Zn
21.52;-0.014772019312208187;0.014772019312208187;Rh kb Compton
8.98;0.01475915795100652;0.01475915795100652;background2
15.04;0.014733291153653558;0.014733291153653558;background3
16.96;0.01472541239824346;0.01472541239824346;background3
4.58;-0.014700837644576862;0.014700837644576862;background1
22.16;-0.014695763319520546;0.014695763319520546;Rh kb Compton
14.92;0.01465182451763391;0.01465182451763391;background3
11.62;-0.014648341800965742;0.014648341800965742;Br ka
18.5;-0.014630031047987874;0.014630031047987874;Rh ka Compton
19.9;-0.014627202852474914;0.014627202852474914;Rh ka Rayleigh
14.12;0.014624294969955855;0.014624294969955855;background3
17.86;-0.014588679825228454;0.014588679825228454;Rh ka Compton
20.5;-0.014584812085103913;0.014584812085103913;Rh ka Rayleigh
10.26;-0.01456038808784076;0.01456038808784076;background2
10.92;0.014552419269870075;0.014552419269870075;background2
7.54;0.014523559284622232;0.014523559284622232;Cu
5.58;0.01449499420425385;0.01449499420425385;background1
19.1;-0.014487365702751491;0.014487365702751491;Rh ka Compton
13.74;-0.014477755596234172;0.014477755596234172;Rb ka + Br kb
10.54;-0.014411739801706012;0.014411739801706012;background2
9.84;0.014405529027834083;0.014405529027834083;background2
9.04;0.01438667397662773;0.01438667397662773;background2
3.5;-0.01437515682570795;0.01437515682570795;K kb + Ca ka
19.7;-0.01435571378863291;0.01435571378863291;Rh ka Compton
15.24;-0.014338982920252189;0.014338982920252189;background3
14.1;-0.014335357233816083;0.014335357233816083;background3
18.08;-0.014326765315638574;0.014326765315638574;Rh ka Compton
22.66;-0.01429827566030974;0.01429827566030974;Rh kb Rayleigh
8.38;0.014281906583211544;0.014281906583211544;Zn
19.14;-0.01427867564627098;0.01427867564627098;Rh ka Compton
8.4;-0.014273498974863954;0.014273498974863954;Zn
18.14;-0.01423717171414535;0.01423717171414535;Rh ka Compton
15.76;-0.014223161879321955;0.014223161879321955;background3
21.38;-0.014221322421215604;0.014221322421215604;Rh kb Compton
12.76;-0.014213742219091514;0.014213742219091514;Rb ka + Br kb
16.4;0.014174414793209562;0.014174414793209562;background3
9.26;-0.01416263787637846;0.01416263787637846;background2
19.28;-0.014124890603477068;0.014124890603477068;Rh ka Compton
16.38;-0.014053419913627152;0.014053419913627152;background3
7.76;-0.014036555561690003;0.014036555561690003;Cu
22.1;0.013890561763895413;0.013890561763895413;Rh kb Compton
14.84;0.013829986819904787;0.013829986819904787;background3
6.76;-0.013784899862404026;0.013784899862404026;Fe
21.62;-0.013783369863310722;0.013783369863310722;Rh kb Compton
21.66;-0.013766297121905618;0.013766297121905618;Rh kb Compton
3.46;0.013694644040646572;0.013694644040646572;K kb + Ca ka
12.66;-0.013685829597438278;0.013685829597438278;Rb ka + Br kb
20.52;0.013643235803000824;0.013643235803000824;Rh ka Rayleigh
18.32;-0.013636981603087489;0.013636981603087489;Rh ka Compton
16.84;-0.013608576466595577;0.013608576466595577;background3
16.22;0.013596449399225238;0.013596449399225238;background3
13.22;0.013564377257375217;0.013564377257375217;Rb ka + Br kb
21.96;-0.013517697366139227;0.013517697366139227;Rh kb Compton
15.9;0.013460216156456489;0.013460216156456489;background3
2.88;0.013425390818310031;0.013425390818310031;Cl
7.84;-0.013413739545328509;0.013413739545328509;Cu
4.6;-0.013393936794594738;0.013393936794594738;background1
4.74;-0.013372037069959312;0.013372037069959312;background1
22.38;0.013313537335776261;0.013313537335776261;Rh kb Rayleigh
15.96;-0.01321519482043675;0.01321519482043675;background3
4.28;-0.013171658388700446;0.013171658388700446;background1
2.32;0.013102080519885434;0.013102080519885434;S
8.12;0.013070675526935773;0.013070675526935773;Cu
